country,region,income_level,platform_name,domain,website_url,app_link,platform_format,platform_type,platform_classification,tier,tier_label,target_audience,accessible_without_account,offline_functionality,mobile_compatible,working_links,regularly_updated,interactive_content,fln_resources,accessible_for_disabilities,available_languages,national_languages_covered,available,has_url,generic_hosting,notes
Afghanistan,South Asia,Low income,Nasab- Alternativ Education Services ,maarif.af,https://maarif.af/,,resource hub,,national,1,Tier 1,students and teachers,yes,no,yes,yes,yes,yes,yes,no,Persian ,yes,True,True,False,"- FLN Example
- Users can submit ideas in response to videos which adds a level of interactivity"
Albania,Europe & Central Asia,Upper middle income,Akademi (web),akademi.al,https://www.akademi.al/,,LMS,,national,1,Tier 1,students and teachers,no,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,True,True,False,"- Instructional videos and live lesson
- Offeres content for students, teachers and parents
- Need an account to access content 
- Over 5000 videos"
Albania,Europe & Central Asia,Upper middle income,Akademi (App),,,https://play.google.com/store/apps/details?id=al.akademi.mobile.akademi_al_mobile_app,LMS,,unknown,1,Tier 1,students and teachers,no,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,True,False,False,"- Instructional videos and live lesson
- Offeres content for students, teachers and parents
- Need an account to access content 
- Over 5000 videos"
Algeria,Middle East & North Africa,Lower middle income,Office national d’éducation et de formation à distance (ONEFD) [in English: The National Bureau for Distance Education and Training],onefd.edu.dz,http://www.onefd.edu.dz/,,resource hub,,national,1,Tier 1,students,yes,no,no,no,no,no,no,no,Arabic,no,True,True,False,
Angola,Sub-Saharan Africa,Lower middle income,Escolinha em casa,youtube.com,https://www.youtube.com/channel/UCpf7-LhTbmKk11p4nqw5LYA/search?query=escolinha,,resource hub,YouTube,other,3,Other,students,yes,no,yes,yes,no,no,no,no,Portuguese,yes,True,True,False,"- Didactic content broadcasted by Public Television of Angola, in partnership with the Ministry of Educatio .
- Content currently located in a YouTube channel 
- Lessons are not categorised or organised orderly"
Antigua and Barbuda,Latin America & Caribbean,High income,Google Classroom,,,,other,,collaboration,2,Collaboration,students and teachers,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,False,False,False,Google Classroom Handbook developed by the MoEST: https://res.cloudinary.com/dnsq0clgs/image/upload/v1600882425/h5bhclswvthmuhhnas8g.pdf
Argentina,Latin America & Caribbean,Upper middle income,Seguimos educando,educ.ar,https://www.educ.ar/,,resource hub,,national,1,Tier 1,students and teachers,yes,yes,yes,yes,yes,yes,no,no,Spanish,yes,True,True,False,"- Resources are oganised by different categories but don't follow a progressive order. It's confusing for the user where to start learning a specific topic
- Platform is linked to Huayra which provides IT-related interactive resources
- Is not very intuitive for finding resources for a specific area or grade 
- Also provides resources for the community
- Mendoza, an Argentinian city, has their own platform with resources for all levels and a chatbot, https://www.mendoza.edu.ar/edm-2021/#"
Argentina,Latin America & Caribbean,Upper middle income,Nuestra escuela,youtube.com,https://www.youtube.com/c/INFDTIC,,other,YouTube,other,3,Other,teachers,yes,no,no,yes,yes,no,no,no,Spanish,yes,True,True,False,"- It's a YouTube channel created by the government
- Videos can be downloaded creating a YouTube account
- Teachers can ask/comment only when attending a sinchronic session"
Argentina,Latin America & Caribbean,Upper middle income,Biblioteca nacional de maestros y maestras,bnm.me.gov.ar,http://www.bnm.me.gov.ar/catalogos/,,resource hub,,national,1,Tier 1,students and teachers,unknown,unknown,unknown,no,unknown,yes,unknown,unknown,Spanish,unknown,False,True,False,"- Website is under maintenance
- Platform includes a chatbot"
Argentina,Latin America & Caribbean,Upper middle income,Sistema Integral de Información Digital Educativa,sinide.educacion.gob.ar,https://sinide.educacion.gob.ar/,,LMS,,national,1,Tier 1,teachers,no,no,yes,yes,yes,unknown,no,unknown,Spanish,yes,True,True,False,"- At the moment of the mapping, this platform is only implemented for the secondary level
- Access to the platform is with an account but tutorials are available without an account"
